	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
LOC653075	1.5459683691052926	1.0840642647884746	0.8318772411916731	0.925999418556223	1.1634987322828796	1.3448284969974411	1.3895668117627256	2.063502942306158	1.835924074254375	1.1375035237499351
LOC653160	1.2387868595871168	0.765534746362977	0.9335726382610241	0.41142624572646497	0.9335726382610241	0.6599245584023783	0.5753123306874368	0.8559896973084807	0.34482849699744117	0.7990873060740036
LOC653501	0.18903382439001715	0.070389327891398	0.11103131238874395	0.18903382439001715	0.08406426478847456	0.29865831556451516	0.35614381022527536	0.28688114778816154	0.41142624572646497	0.056583528366367514
LOC653513	2.0461417816447205	1.6870606883398924	2.9981955031532523	2.0107798387532423	2.8972404255747994	2.0806576633452254	2.4854268271702415	2.339137384919585	1.4222330006830475	0.6040713236688608
LOC653653	0.5160151470036647	0.8718436485093178	0.6040713236688608	1.0976107966264221	0.9411063109464314	0.5558161550616397	0.9708536543404835	0.8399595874895318	1.0	0.4005379295837288
LOC653712	1.632268215499513	0.21412480535284734	0.7990873060740036	0.6870606883398922	1.3673710656485294	1.6599245584023783	1.6461626571578936	1.6553518286125541	0.9855004303048849	0.6040713236688608
LOC653786	0.5160151470036647	0.0	0.8318772411916731	0.5753123306874368	0.7907720378619999	1.0908534304511135	0.4222330006830478	0.7311832415722002	0.6959938131099002	0.0
LOC654342	0.8953026213333066	1.3785116232537298	1.5109619192773793	1.3045110418099528	1.0908534304511135	1.3219280948873624	1.632268215499513	1.1953475983222193	1.070389327891398	1.1634987322828796
LOC654433	1.3334237337251917	3.218781167784069	3.918386234446348	2.27500704749987	3.552131108253784	4.279471295644468	3.888499735514123	4.100977647724821	4.597531174224212	3.828834649468056
LOC654841	0.6229303509201767	0.6135316529179271	0.6415460290875237	0.3895668117627256	0.8559896973084807	0.6599245584023783	1.0565835283663676	0.8318772411916731	1.3334237337251917	0.6959938131099002
