	HC02A	HC04A	HC06A	RSA03A	RSA04A	RSA-1A
RNU1-146P	0.0	0.0	0.962773549420808	0.0	0.0	1.68327177306147
RNU1-153P	2.92467386431012	3.62992090338304	2.26189579936271	0.951485877153058	0.0	2.4391201604074
RNU1-16P	2.51331392522965	1.45982229981518	0.0	0.951485877153058	1.10755695246591	1.07435283090471
RNU1-2	0.957439223542008	0.0	0.0	0.0	1.10755695246591	0.0
RNU1-22P	0.0	1.45982229981518	0.962773549420808	0.951485877153058	1.10755695246591	2.11013994903199
RNU1-27P	0.0	1.45982229981518	0.0	0.0	1.10755695246591	0.0
RNU1-28P	0.957439223542008	0.0	0.0	0.951485877153058	1.10755695246591	1.07435283090471
RNU1-33P	0.0	0.907177105483059	0.0	0.0	0.0	0.0
RNU1-47P	0.0	0.0	2.26189579936271	0.951485877153058	1.72666074592923	0.0
RNU1-56P	0.0	0.0	0.962773549420808	1.92660299877737	3.35592339260063	1.07435283090471
RNU1-58P	0.0	0.907177105483059	0.0	0.951485877153058	0.0	1.07435283090471
RNU1-65P	0.0	1.45982229981518	0.0	0.0	0.0	0.0
RNU1-67P	1.52793113248798	3.28595314889765	0.962773549420808	1.92660299877737	3.18326912977685	1.07435283090471
RNU1-6P	0.0	0.0	1.53511066935104	0.0	0.0	0.0
RNU1-72P	0.957439223542008	0.0	2.74293748242366	0.0	0.0	0.0
RNU1-73P	0.957439223542008	0.0	0.962773549420808	0.0	0.0	2.11013994903199
RNU1-75P	0.0	0.907177105483059	0.0	0.951485877153058	0.0	0.0
RNU1-77P	0.0	0.0	0.0	0.951485877153058	0.0	0.0
RNU1-83P	0.0	0.907177105483059	0.0	0.0	1.10755695246591	1.07435283090471
RNU1-91P	1.52793113248798	1.45982229981518	0.962773549420808	0.951485877153058	1.10755695246591	1.07435283090471
RNU1-94P	0.0	0.907177105483059	0.0	0.0	0.0	0.0
RNU1-98P	0.0	0.0	0.962773549420808	0.0	0.0	0.0
RNU11-3P	0.0	0.0	0.0	0.0	0.0	1.07435283090471
RNU12-2P	0.0	1.45982229981518	0.0	0.0	0.0	1.07435283090471
RNU2-11P	0.0	0.0	1.53511066935104	2.2435026002505	0.0	1.07435283090471
RNU2-13P	0.0	0.0	0.962773549420808	2.2435026002505	0.0	0.0
RNU2-17P	1.52793113248798	0.0	0.0	1.51990756854094	1.72666074592923	0.0
RNU2-22P	1.52793113248798	0.0	0.0	1.51990756854094	1.10755695246591	0.0
RNU2-28P	1.52793113248798	0.907177105483059	0.962773549420808	1.92660299877737	2.98710739767197	1.07435283090471
RNU2-33P	1.52793113248798	0.907177105483059	0.962773549420808	0.951485877153058	1.10755695246591	0.0
RNU2-34P	0.957439223542008	0.0	0.962773549420808	0.0	1.72666074592923	0.0
RNU2-37P	0.0	1.45982229981518	0.962773549420808	0.0	1.10755695246591	1.07435283090471
RNU2-38P	0.957439223542008	0.907177105483059	2.26189579936271	1.51990756854094	1.10755695246591	0.0
RNU2-40P	0.0	0.0	0.0	0.951485877153058	0.0	0.0
RNU2-45P	0.0	0.0	0.962773549420808	0.951485877153058	0.0	0.0
RNU2-46P	0.0	0.907177105483059	0.0	0.0	1.72666074592923	0.0
RNU2-51P	0.957439223542008	0.0	0.0	0.0	2.15847061327983	1.07435283090471
RNU2-52P	0.957439223542008	0.0	0.962773549420808	0.0	0.0	0.0
